block,disease,auroc,auprc,brier,ece,n_pos_eval
I,I456,0.5379,0.0018,0.0010,0.0080,6
I,I260,0.5724,0.0126,0.0025,0.0059,15
I,I742,0.5612,0.0036,0.0019,0.0066,11
I,I79,0.9895,0.5374,0.0011,0.0070,8
I,I68,0.5946,0.0061,0.0018,0.0066,11
I,I615,0.6769,0.0051,0.0012,0.0063,7
C,C676,0.4248,0.0010,0.0013,0.0178,9
C,C838,0.5132,0.0016,0.0012,0.0181,8
C,C921,0.7029,0.0180,0.0014,0.0159,10
C,C07,0.5823,0.0016,0.0015,0.0176,10
C,C211,0.6541,0.0049,0.0016,0.0167,11
C,C51,0.5982,0.0074,0.0017,0.0173,12
G,G960,0.3705,0.0008,0.0010,0.0078,9
G,G620,0.3809,0.0008,0.0010,0.0081,9
G,G912,0.6450,0.0013,0.0008,0.0075,7
G,G550,0.5969,0.0017,0.0011,0.0076,10
G,G00,0.6425,0.0095,0.0007,0.0070,6
G,G958,0.4809,0.0015,0.0009,0.0081,8
