block,disease,auroc,auprc,brier,ece,n_pos_eval
I,I456,0.5500,0.0019,0.0024,0.0346,6
I,I260,0.6233,0.0303,0.0038,0.0312,15
I,I742,0.5759,0.0040,0.0033,0.0322,11
I,I79,0.9885,0.6300,0.0031,0.0331,8
I,I68,0.6473,0.0223,0.0032,0.0322,11
I,I615,0.7672,0.0090,0.0026,0.0319,7
C,C676,0.4070,0.0009,0.0060,0.0692,9
C,C838,0.6528,0.0052,0.0060,0.0695,8
C,C921,0.7198,0.0041,0.0059,0.0669,10
C,C07,0.6235,0.0023,0.0064,0.0712,10
C,C211,0.6184,0.0185,0.0060,0.0671,11
C,C51,0.6583,0.0807,0.0062,0.0678,12
G,G960,0.2843,0.0007,0.0042,0.0558,9
G,G620,0.6116,0.0014,0.0041,0.0547,9
G,G912,0.6953,0.0017,0.0038,0.0547,7
G,G550,0.5796,0.0040,0.0043,0.0554,10
G,G00,0.5551,0.0055,0.0039,0.0562,6
G,G958,0.5540,0.0046,0.0040,0.0549,8
